block,timestamp,trader,listingId,tradeType,amount,totalCost,OpenClose,baseIv,callDelta,price,putDelta,skew,vega,netDelta,netStdVega,txHash,strike,expiry,tradeIv,tau
1470328,1640250485,0x3F0Fbe29803e6aE8BcbA412Ab9019aa690BE3649,265,SHORT_PUT,300.0,90.21426554719471,Close,1.20005755,0.87338251100048,20.53266755,-0.12661748899952,1.0198442166666666,0.012224700275428118,8666.94746337833,259.2933921037263,0x41b8c3620323c7f9a44bc29335335b746dc00e43309a38e404d03ff0a40f2dc3,17,1640937600,1.223871752034669,687115
1483453,1640277815,0x3f491c542a449243C7a33457847245445C747F48,277,LONG_CALL,150.0,173.4571450380637,Open,1.20030755,0.44831590525352,21.182709,-0.55168409474648,0.9802833333333334,0.024023593876815352,9308.829230858002,251.52842197532624,0xc39e757e46ffd73ebf8c1dd9296314b614798d02ab49fdd0d3e763c0f13a39ea,22,1640937600,1.1766414861391667,659785
1489342,1640289149,0x6A45c27E47eCb7d51e69839Ac949aA69F8F0f15F,273,LONG_PUT,100.0,77.57346031169027,Open,1.2004742166666666,0.71689502717005,21.725079,-0.28310497282995,1.0002166666666665,0.021076475669527105,12192.357155067308,276.49274936616507,0xab5db6ea88bf97d17961afd259d2a0d486d2b89775e9d6ec0a0dbaa989770ac5,20,1640937600,1.2007343194136109,648451
1491722,1640296906,0x216bb9EefCf60294689c4f5acAe7bDD908588aFF,277,LONG_CALL,8.0,10.984639588263063,Open,1.20048755,0.50098387681965,21.67520272,-0.49901612318035,0.9802966666666666,0.0247905468846134,13718.0758696416,271.9449725768335,0x570ce3474418afc22ebbf9b8830061c447c8a382e77c133f24352982f2c0252f,22,1640937600,1.1768339436398334,640694
1491772,1640296942,0xb3ADfd3C69d166321d87708e8c12abB9E5A7cA45,281,LONG_CALL,100.0,70.22987958749076,Open,1.2006542166666667,0.30661556394266,21.73897176,-0.69338443605734,0.9702166666666666,0.021880447904249596,13748.959350020774,274.14272306069057,0x665935ee9fe23f6da9d3ab42c0d97f851627d31c5f5f5b0fd2582fe699e1552e,24,1640937600,1.1648947319136111,640658
1492118,1640297951,0xF9e4206fdF1e0EB75E1db336f62590Bc3e320F0a,269,LONG_CALL,50.0,164.0636888948165,Close,1.2005708833333333,0.8239587424029899,21.927461169999997,-0.17604125759700998,1.0,0.01626362234956274,13708.791865033583,273.28267735268844,0x39f36175a8b3a6220e60b7398179fdd9b915b46a3f0f609a4642ec37a9dcefe8,19,1640937600,1.2005708833333333,639649
1492450,1640298807,0x3f491c542a449243C7a33457847245445C747F48,277,LONG_CALL,150.0,224.41465825921537,Close,1.2003208833333332,0.54691032800636,22.09941935,-0.45308967199364,0.9800466666666666,0.025100742185361992,13634.930224143864,269.5727807884174,0x27855d3c657a07518306fc8ed330b13faf45547b5a10a1f30a39f78deda95088,22,1640937600,1.176370480641222,638793
1492691,1640299352,0xc36549c2c5C33A0947829bc9dE305AcAe41be3d8,257,LONG_CALL,200.0,111.00014801824493,Open,1.2130986466666667,0.19226029876836,22.04,-0.8077397012316401,0.9944066133333334,0.01726928792692678,13719.333365814095,276.34849299977407,0x2f8f030bb983aaf224c5ddf7a15a1d64b7c5c06d4ec580a3ebfefd4e1cd15411,28,1641542400,1.20631331687105,1243048
1492725,1640299475,0xc36549c2c5C33A0947829bc9dE305AcAe41be3d8,281,LONG_CALL,150.0,119.76124898081656,Open,1.2005708833333333,0.33590146437446006,22.04,-0.66409853562554,0.9704666666666666,0.023042910864143736,13773.525752526397,279.9560498141818,0xc249d474b6017b5057de620d3fc1038e15fd64207686203f48ac7fd7c4605f43,24,1640937600,1.1651140232455555,638125
1492740,1640299529,0xc36549c2c5C33A0947829bc9dE305AcAe41be3d8,281,LONG_CALL,50.0,39.92658924784535,Open,1.2006542166666667,0.33590428260886,22.04,-0.6640957173911399,0.97055,0.023042986558501614,13790.321755762472,281.1082203365271,0x5bdbf6738330da59d1996fcb6d314ec877671523dd0573f71457fc0b453773a0,24,1640937600,1.1652949499858334,638071
